137	281
178	334
142	169
133	262
115	146
91	113
111	128
126	137
136	185
139	282
163	302
164	309
125	251
125	158
111	112
54	97
122	189
213	137
139	184
207	199
158	302
169	342
109	333
147	168
103	144
57	86
99	104
107	112
200	75
141	210
129	291
114	215
138	151
162	197
158	263
131	302
201	304
171	305
165	308
165	305
141	85
125	80
234	22
101	115
100	106
172	176
172	302
123	333
164	346
228	350
193	356
181	354
143	66
177	135
184	232
149	254
153	296
129	180
66	104
69	276
263	262
254	240
240	191
250	206
127	196
135	170
104	109
116	282
64	108
46	19
256	175
135	360
134	341
183	319
144	151
145	86
149	165
203	0
149	155
149	162
118	2
121	22
126	37
130	227
120	205
138	224
128	240
174	51
155	139
153	156
156	168
157	179
179	282
82	124
120	322
121	122
86	108
182	29
40	3
179	3
125	129
101	132
63	71
182	66
125	10
25	13
120	209
84	170
194	155
163	165
165	253
222	85
221	43
62	149
69	43
75	11
140	104
130	102
100	165
31	90
33	40
98	111
214	66
214	93
136	217
128	273
118	309
121	226
167	272
208	326
212	325
172	213
137	181
110	263
80	140
135	126
178	103
117	189
137	186
169	293
102	115
40	81
196	96
208	111
138	281
98	144
94	141
224	52
165	342
124	360
137	361
171	360
