416	295
368	312
269	300
297	252
354	345
326	320
372	315
391	308
405	109
354	225
246	282
254	130
346	219
74	487
73	493
78	485
362	308
315	282
389	222
295	202
311	327
281	336
397	354
425	339
380	333
352	335
264	214
262	198
377	423
533	455
429	251
409	258
415	379
315	303
318	212
310	161
464	299
528	349
383	262
360	266
336	296
369	371
344	351
267	312
261	304
264	200
148	311
501	289
370	240
368	266
406	376
224	410
123	414
573	430
601	440
436	363
319	218
377	250
339	291
435	271
394	322
105	494
71	484
384	318
333	337
390	342
371	394
352	467
378	471
271	256
269	383
489	408
354	288
334	358
234	304
218	294
203	169
226	121
217	182
365	265
381	245
352	292
338	102
335	76
339	38
436	355
448	394
450	390
548	410
569	404
450	225
447	163
461	277
489	191
397	323
278	176
451	304
395	318
453	321
455	316
410	319
406	323
329	317
457	194
451	211
443	230
449	316
412	291
347	364
381	381
362	374
289	257
292	192
361	407
65	545
393	453
36	200
308	223
399	298
378	299
441	298
417	313
397	306
419	323
420	361
386	314
437	308
314	180
409	249
288	153
381	319
314	224
160	155
372	143
350	251
374	296
346	262
462	270
407	268
395	301
373	310
391	367
431	343
404	421
502	298
364	318
371	332
373	357
378	335
380	450
385	419
271	305
271	157
271	124
369	214
348	283
420	317
400	361
281	164
281	167
282	167
280	99
296	285
293	278
115	425
403	389
449	295
319	315
404	347
290	306
400	311
356	301
372	310
413	334
410	347
419	346
394	349
324	241
332	338
331	396
324	436
325	360
299	348
208	336
217	212
419	152
431	271
299	223
294	223
436	288
412	326
394	232
