348	274
295	221
139	251
74	274
225	277
199	205
317	189
376	269
355	194
138	214
141	212
321	230
160	202
423	196
287	144
263	156
181	200
312	206
283	152
294	130
332	179
334	164
261	131
130	166
405	166
512	170
297	99
305	89
90	270
350	195
280	151
205	170
172	180
120	174
255	173
269	122
272	112
278	240
255	264
320	266
333	265
384	190
311	152
246	150
308	56
138	144
182	147
411	155
446	96
544	231
500	246
343	109
283	173
313	77
322	52
139	102
155	181
327	170
429	175
194	185
118	293
85	323
372	279
235	192
166	228
109	244
182	240
439	229
373	220
475	276
520	287
434	154
306	134
334	140
185	183
271	76
281	195
136	197
23	186
5	265
105	172
409	164
197	184
316	132
319	122
425	185
351	279
299	274
128	266
108	273
97	309
303	140
210	143
307	228
330	99
101	225
247	179
361	157
390	161
279	236
163	250
285	168
173	247
190	240
379	242
279	324
116	287
118	311
84	316
299	42
292	81
230	159
200	158
283	103
295	77
437	101
314	78
190	164
285	104
225	154
28	157
113	91
446	85
429	148
311	144
120	151
255	101
120	130
238	86
320	141
297	158
184	199
344	191
405	186
305	119
306	109
317	193
301	243
284	147
274	99
268	90
272	180
366	177
479	182
427	106
119	114
93	178
464	188
312	109
105	168
261	159
151	201
273	178
221	93
147	257
119	222
242	134
247	208
240	269
238	221
322	78
232	94
377	115
90	216
303	187
324	214
301	49
295	143
224	125
